x,y,time,wildfires_sum
197000.0,464000.0,2018-07-11,1.0
201000.0,318000.0,2018-07-11,1.0
201000.0,386000.0,2018-07-11,1.0
201000.0,562000.0,2018-07-11,2.0
203000.0,368000.0,2018-07-11,1.0
205000.0,472000.0,2018-07-11,1.0
205000.0,546000.0,2018-07-11,1.0
207000.0,466000.0,2018-07-11,1.0
207000.0,470000.0,2018-07-11,1.0
209000.0,372000.0,2018-07-11,1.0
211000.0,374000.0,2018-07-11,1.0
213000.0,470000.0,2018-07-11,1.0
221000.0,500000.0,2018-07-11,1.0
227000.0,486000.0,2018-07-11,1.0
227000.0,538000.0,2018-07-11,1.0
229000.0,544000.0,2018-07-11,1.0
231000.0,430000.0,2018-07-11,1.0
231000.0,476000.0,2018-07-11,1.0
231000.0,542000.0,2018-07-11,1.0
231000.0,554000.0,2018-07-11,1.0
233000.0,502000.0,2018-07-11,1.0
235000.0,570000.0,2018-07-11,1.0
237000.0,540000.0,2018-07-11,1.0
237000.0,564000.0,2018-07-11,1.0
245000.0,524000.0,2018-07-11,1.0
255000.0,466000.0,2018-07-11,1.0
267000.0,566000.0,2018-07-11,1.0
267000.0,578000.0,2018-07-11,1.0
19000.0,396000.0,2018-07-21,1.0
21000.0,366000.0,2018-07-21,1.0
37000.0,404000.0,2018-07-21,1.0
43000.0,372000.0,2018-07-21,1.0
51000.0,424000.0,2018-07-21,1.0
57000.0,426000.0,2018-07-21,1.0
61000.0,426000.0,2018-07-21,1.0
63000.0,420000.0,2018-07-21,1.0
65000.0,428000.0,2018-07-21,1.0
67000.0,378000.0,2018-07-21,1.0
71000.0,450000.0,2018-07-21,1.0
79000.0,386000.0,2018-07-21,1.0
81000.0,390000.0,2018-07-21,1.0
83000.0,382000.0,2018-07-21,1.0
83000.0,384000.0,2018-07-21,1.0
83000.0,388000.0,2018-07-21,1.0
85000.0,374000.0,2018-07-21,1.0
93000.0,474000.0,2018-07-21,1.0
99000.0,496000.0,2018-07-21,1.0
103000.0,504000.0,2018-07-21,1.0
109000.0,544000.0,2018-07-21,1.0
111000.0,550000.0,2018-07-21,1.0
113000.0,518000.0,2018-07-21,1.0
115000.0,494000.0,2018-07-21,1.0
119000.0,402000.0,2018-07-21,1.0
121000.0,418000.0,2018-07-21,1.0
